url	first_seen	portal	title	company	status
https://memorialhermann.wd5.myworkdayjobs.com/external/job/Memorial-Hermann-Tower/Director--Corporate-Compliance--Hybrid-_100158145	2026-04-08	websearch-memorial-hermann	Director, Corporate Compliance (Hybrid)	Memorial Hermann	added
https://jobs.centene.com/us/en/jobs/1627736/director-hedis-quality-process-improvement/	2026-04-08	websearch-centene	Director, HEDIS Quality & Process Improvement (Remote)	Centene	added
https://jobs.centene.com/us/en/jobs/1627776/director-quality-improvement/	2026-04-08	websearch-centene	Director, Quality Improvement (Remote)	Centene	added
https://www.ziprecruiter.com/c/Molina-Healthcare/Job/Director,-Operational-Oversight-Medicare-(Remote)/-in-Dallas,TX?jid=30eb9e4d3d5989cb	2026-04-08	websearch-molina	Director, Operational Oversight Medicare (Remote)	Molina Healthcare	added
https://himalayas.app/companies/molina-healthcare/jobs/program-director-quality-compliance-remote	2026-04-08	websearch-molina	Program Director, Quality & Compliance (Remote)	Molina Healthcare	added
https://www.zippia.com/job-listing/lubbock-tx/managing-director/4a199ee8a7be77200e7038ac8095c6cf68a5e178/	2026-04-08	websearch-maximus	Operations Managing Director (Remote TX)	MAXIMUS	added
https://jobs.ashbyhq.com/iambic-therapeutics/a533ce7f-25c0-4a37-a307-36b1ea594a882026-04-08ashbyhq-query15Director, Quality Systems & Compliance (Remote)Iambic Therapeuticsadded
https://jobs.ashbyhq.com/wheel/4f3d0381-ad43-4794-8550-d7c917f828ee2026-04-08ashbyhq-query15Chief Compliance Officer (Fractional, Remote)Wheeladded
https://jobs.ashbyhq.com/rula/32c9d407-15d4-4541-afbe-78ddcb1477ac2026-04-08ashbyhq-query15Compliance Manager (Remote)Rulaadded
https://www.ziprecruiter.com/c/Harris-Center-for-Mental-Health-and-IDD/Job/Program-Director-III-(Peers-for-Hope-House)/-in-Houston,TX?jid=0edfd215e13762f72026-04-08websearch-harris-centerProgram Director III (Peers for Hope House)Harris Center for Mental Health and IDDadded
https://dailyremote.com/remote-job/program-director-texas-remote-48272222026-04-08websearch-icfProgram Director (Texas Remote)ICFadded
https://www.learn4good.com/jobs/the-woodlands/texas/management_and_managerial/4947212794/e/2026-04-08websearch-behavioral-health-q12Clinical Program Director - Behavioral HealthOCD Anxiety Centersadded
https://sepsis-alliance.breezy.hr/p/a14561edf9e2-director-of-operations	2026-04-08	scan-run3-q12	Director of Operations (Remote)	Sepsis Alliance	added
https://dailyremote.com/remote-job/regional-director-of-quality-assurance-and-monitoring-4826034	2026-04-08	scan-run3-q11	Regional Director of Quality Assurance and Monitoring (Remote)	PACS	added
https://careers.icf.com/us/en/job/R2600889/PMO-Director-Program-Operations-Manager-Texas-REMOTE	2026-04-08	scan-run3-q1	PMO Director / Program Operations Manager (Texas Remote)	ICF	added
https://dailyremote.com/remote-job/director-quality-healthcare-remote-4820309	2026-04-08	scan-run3-q13	Director, Quality - Healthcare (Remote)	Magellan Health	added
https://dailyremote.com/remote-job/director-provider-risk-adjustment-4833926	2026-04-08	scan-run4-q11	Director, Provider Risk Adjustment (Remote)	CorroHealth	added
https://jobs.femtechinsider.com/companies/everly-health/jobs/68593495-director-of-regulatory-and-quality-assurance-hoffman-estes-il-or-austin-tx	2026-04-08	scan-run4-q1	Director of Regulatory and Quality Assurance (Austin TX)	Everly Health	added
https://dailyremote.com/remote-job/director-of-system-operations-4836448	2026-04-08	scan-run4-q11	Director of System Operations (Remote/Hybrid)	Mary Free Bed Rehabilitation Hospital	added
